Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més,Total. Total,Homes. Total,Dones. Total,P Total. De 0 a 14 anys,P Total. De 15 a 64 anys,P Total. 65 anys o més,P Homes. De 0 a 14 anys,P Homes. De 15 a 64 anys,P Homes. 65 anys o més,P Dones. De 0 a 14 anys,P Dones. De 15 a 64 anys,P Dones. 65 anys o més
17006,Alp,103,626,120,82,581,133,185,1207,253,1645,849,796,0.11246200607902736,0.7337386018237082,0.15379939209726443,0.12131919905771496,0.7373380447585395,0.1413427561837456,0.10301507537688442,0.7298994974874372,0.1670854271356784
8004,Alpens,18,105,20,14,84,28,32,189,48,269,143,126,0.11895910780669144,0.7026022304832714,0.17843866171003717,0.1258741258741259,0.7342657342657343,0.13986013986013987,0.1111111111111111,0.6666666666666666,0.2222222222222222
25023,Alpicat,560,2163,436,543,2077,495,1103,4240,931,6274,3159,3115,0.17580490914886834,0.6758049091488684,0.1483901817022633,0.1772712883823995,0.6847103513770181,0.13801836024058245,0.17431781701444624,0.6667736757624398,0.15890850722311398
25024,Alt Àneu,26,161,63,14,125,41,40,286,104,430,250,180,0.09302325581395349,0.6651162790697674,0.24186046511627907,0.104,0.644,0.252,0.07777777777777778,0.6944444444444444,0.22777777777777777
43012,Altafulla,451,1748,480,485,1815,533,936,3563,1013,5512,2679,2833,0.16981132075471697,0.6464078374455733,0.18378084179970972,0.1683463979096678,0.6524822695035462,0.1791713325867861,0.17119661136604306,0.6406636074832334,0.1881397811507236
17007,Amer,161,757,252,160,735,318,321,1492,570,2383,1170,1213,0.1347041544271926,0.6261015526647083,0.23919429290809904,0.13760683760683762,0.647008547008547,0.2153846153846154,0.13190436933223412,0.6059356966199505,0.26215993404781535
43013,"Ametlla de Mar, l'",472,2302,846,445,2140,926,917,4442,1772,7131,3620,3511,0.1285934651521526,0.6229140373019212,0.24849249754592623,0.13038674033149172,0.6359116022099448,0.23370165745856353,0.12674451723155797,0.609512959270863,0.26374252349757904
8005,"Ametlla del Vallès, l'",719,3062,646,675,3002,683,1394,6064,1329,8787,4427,4360,0.15864345055195175,0.6901103903493798,0.15124615909866848,0.16241246894059183,0.6916647842782923,0.1459227467811159,0.15481651376146788,0.6885321100917431,0.15665137614678898
43906,"Ampolla, l'",204,1116,458,203,1013,450,407,2129,908,3444,1778,1666,0.11817653890824623,0.6181765389082462,0.26364692218350755,0.11473565804274466,0.6276715410573678,0.2575928008998875,0.12184873949579832,0.6080432172869148,0.27010804321728693
43014,Amposta,1762,7153,1861,1588,6742,2211,3350,13895,4072,21317,10776,10541,0.1571515691701459,0.651827180184829,0.1910212506450251,0.16351150705270973,0.6637899034892354,0.17269858945805494,0.15064984346836163,0.6395977611232331,0.20975239540840526
