MUNICIPI_CODI,"('No vacunat', 1, 'Total')","('No vacunat', 2, 'Total')","('No vacunat', 3, 'Total')","('vacunat', 1, 'Total')","('vacunat', 2, 'Total')","('vacunat', 3, 'Total')",Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més,Total. Total,Homes. Total,Dones. Total,P Total. De 0 a 14 anys,P Total. De 15 a 64 anys,P Total. 65 anys o més,P Homes. De 0 a 14 anys,P Homes. De 15 a 64 anys,P Homes. 65 anys o més,P Dones. De 0 a 14 anys,P Dones. De 15 a 64 anys,P Dones. 65 anys o més
17025,0.022350396539293438,0.005733005733005733,0.010115606936416185,0.9776496034607065,0.9942669942669943,0.9898843930635838,Bordils,147.0,617.0,140.0,146.0,580.0,166.0,293.0,1197.0,306.0,1796.0,904.0,892.0,0.1631403118040089,0.6664810690423163,0.17037861915367483,0.16261061946902655,0.6825221238938053,0.15486725663716813,0.16367713004484305,0.6502242152466368,0.1860986547085202
17026,0.02086677367576244,0.0176678445229682,0.03058103975535168,0.9791332263242376,0.9823321554770318,0.9694189602446484,Borrassà,76.0,247.0,65.0,64.0,229.0,71.0,140.0,476.0,136.0,752.0,388.0,364.0,0.18617021276595744,0.6329787234042553,0.18085106382978725,0.1958762886597938,0.6365979381443299,0.16752577319587628,0.17582417582417584,0.6291208791208791,0.19505494505494506
17027,0.02319277108433735,0.01750330250990753,0.02933038184836746,0.9768072289156626,0.9824966974900925,0.9706696181516326,Breda,241.0,1272.0,381.0,258.0,1224.0,460.0,499.0,2496.0,841.0,3836.0,1894.0,1942.0,0.13008342022940564,0.6506777893639207,0.21923879040667363,0.12724392819429778,0.6715945089757128,0.20116156282998943,0.13285272914521112,0.6302780638516993,0.2368692070030896
17028,0.04435483870967742,0.004524886877828055,0.0072992700729927005,0.9556451612903226,0.995475113122172,0.9927007299270073,Brunyola i Sant Martí Sapresa,19.0,134.0,47.0,26.0,116.0,48.0,45.0,250.0,95.0,390.0,200.0,190.0,0.11538461538461539,0.6410256410256411,0.24358974358974358,95,0.67,235,0.1368421052631579,0.6105263157894737,0.25263157894736843
17029,0.03296703296703297,0.0,0.0,0.967032967032967,1.0,1.0,Boadella i les Escaules,14.0,88.0,36.0,16.0,85.0,32.0,30.0,173.0,68.0,271.0,138.0,133.0,0.11070110701107011,0.6383763837638377,0.25092250922509224,0.10144927536231885,0.6376811594202898,0.2608695652173913,0.12030075187969924,0.6390977443609023,0.24060150375939848
17030,0.06275579809004093,0.00927357032457496,0.017543859649122806,0.937244201909959,0.990726429675425,0.9824561403508771,Cabanes,66.0,331.0,107.0,65.0,274.0,98.0,131.0,605.0,205.0,941.0,504.0,437.0,0.1392136025504782,0.6429330499468651,0.21785334750265675,0.13095238095238096,0.6567460317460317,0.2123015873015873,0.14874141876430205,0.6270022883295194,0.2242562929061785
17031,0.04819277108433735,0.0,0.0,0.9518072289156626,1.0,1.0,Cabanelles,25.0,96.0,27.0,17.0,67.0,34.0,42.0,163.0,61.0,266.0,148.0,118.0,0.15789473684210525,0.6127819548872181,0.22932330827067668,0.16891891891891891,0.6486486486486487,0.18243243243243243,0.1440677966101695,0.5677966101694916,0.288135593220339
17032,0.06345733041575492,0.004497751124437781,0.008579599618684462,0.936542669584245,0.9955022488755623,0.9914204003813155,Cadaqués,177.0,960.0,241.0,172.0,980.0,290.0,349.0,1940.0,531.0,2820.0,1378.0,1442.0,0.12375886524822695,0.6879432624113475,0.18829787234042553,0.12844702467343977,0.6966618287373004,0.1748911465892598,0.11927877947295423,0.6796116504854369,0.20110957004160887
17033,0.036622739809990805,0.024098415908324906,0.04311124510099487,0.9633772601900092,0.975901584091675,0.9568887548990052,Caldes de Malavella,690.0,2714.0,620.0,650.0,2643.0,734.0,1340.0,5357.0,1354.0,8051.0,4024.0,4027.0,0.16643895168302075,0.6653831822133897,0.16817786610358962,0.17147117296222664,0.6744532803180915,0.1540755467196819,0.16141047926496152,0.6563198410727589,0.1822696796622796
17034,0.018526989935956084,0.006371814092953523,0.01162260711030082,0.9814730100640439,0.9936281859070465,0.9883773928896992,Calonge i Sant Antoni,847.0,3808.0,1107.0,737.0,3742.0,1243.0,1584.0,7550.0,2350.0,11484.0,5762.0,5722.0,0.13793103448275862,0.6574364332985022,0.20463253221873912,0.1469975702880944,0.6608816383200278,0.19212079139187782,0.12880111849003845,0.6539671443551206,0.21723173715484095
